dc_type,dc_name,lokasi,coverage_area,lat,lon,status
NDC,NDC Cikupa,Cikupa - Banten,All Indonesia,-6.2177,106.3539,Active
NDC,NDC Jababeka,Jababeka - Bekasi,All Indonesia,-6.3644,107.1694,Active
NDC,NDC Sidoarjo,Sidoarjo - Jawa Timur,All Indonesia,-7.4458,112.7181,Active
RDC,RDC Tanjung Morawa,Tanjung Morawa - Sumatera Utara,"Aceh, Sumatera Utara, Sumatera Barat, Riau, Jambi",3.527,98.7412,Active
RDC,RDC Tallo,Tallo - Makassar,Sulawesi Selatan,-5.1231,119.4169,Active
SDC,SDC Batam,Batam - Kepulauan Riau,Batam dan sekitarnya,1.1301,104.0530,Active
SDC,SDC Pontianak,Pontianak - Kalimantan Barat,Pontianak dan sekitarnya,-0.0263,109.3425,Active
SDC,SDC Banjarmasin,Banjarmasin - Kalimantan Selatan,Banjarmasin dan sekitarnya,-3.3194,114.5908,Active
SDC,SDC Samarinda,Samarinda - Kalimantan Timur,Samarinda dan sekitarnya,-0.5022,117.1536,Active
SDC,SDC Manado,Manado - Sulawesi Utara,Manado dan sekitarnya,1.4748,124.8421,Active
SDC,SDC Ambon,Ambon - Maluku,Ambon dan sekitarnya,-3.6954,128.1814,Active
SDC,SDC Pangkal Pinang,Pangkal Pinang - Bangka Belitung,Pangkal Pinang dan sekitarnya,-2.1316,106.1169,Active
SDC,SDC Ternate,Ternate - Maluku Utara,Ternate dan sekitarnya,0.7891,127.3800,Active
SDC,SDC Kendari,Kendari - Sulawesi Tenggara,Kendari dan sekitarnya,-3.9985,122.5130,Active
SDC,SDC Tarakan,Tarakan - Kalimantan Utara,Tarakan dan sekitarnya,3.3000,117.6333,Active
SDC,SDC Palu,Palu - Sulawesi Tengah,Palu dan sekitarnya,-0.9003,119.8779,Active
SDC,SDC Abepura,Abepura - Papua,Abepura dan sekitarnya,-2.5916,140.6718,Active
SDC,SDC Sorong,Sorong - Papua Barat,Sorong dan sekitarnya,-0.8762,131.2559,Active
HUB,HUB HCI Utara,Jakarta Utara,"Jakarta Utara, Jakarta Timur",-6.1382,106.8780,Active
HUB,HUB HCI Tangerang,Tangerang,"Tangerang, Gading Serpong, Bintaro, Alsut, Karawaci, Ciputat, BSD, Ciledug, Cipondoh, Pamulang",-6.1781,106.6298,Active
HUB,HUB HCI Bogor,Bogor,"Bogor, Bogor Barat, Bogor Kota, Bogor Parung, Bogor Selatan, Bogor Timur, Bogor Utara, Cianjur Cikalong, Cianjur Cipanas, Cianjur Kota, Cibinong, Depok Beji, Depok Cilodong, Depok Cimanggis, Depok Cipayung Ratu, Depok Margonda, Depok Pancoran Mas, Depok Rangkapan Jaya, Depok Sawangan, Depok Timur, Puncak Cianjur, Puncak Cisarua, Sukabumi Cianjur, Sukabumi Jampang Sur, Sukabumi Kota, Sukabumi Pelabuhan R",-6.5971,106.8060,Active
HUB,HUB HCI Bandung,Bandung,"Bandung, Tegal Lega, Garut, Ujung Berung, Cimahi, Subang, Karees, Cibeunying, Bojonagara, Sumedang, Gede Bage, Cianjur",-6.9175,107.6191,Active
HUB,HUB HCI Yogyakarta,Yogyakarta,"Yogyakarta, Bantul, Sleman, Karanganyar, Magelang, Gamping, Solo, Wates, Wonosari, Sukoharjo, Temanggung, Klaten, Purworejo, Godean",-7.7971,110.3688,Active
HUB,HUB HCI Semarang,Semarang,"Semarang, Pudak Payung, Kaligawe, Ngalian, BSB, Kedungmundu, Pedurungan, Mangkang, Ungaran, Cangkiran, Tlogosari, Semarang Indah, Gayamsari, Taman Unyil, Karanganyar Gunung, Karangjati",-6.9932,110.4203,Active
HUB,HUB HCI Lampung,Lampung,"Lampung, Teluk, Natar, Sukarame, Kemiling, Rajabasa, Jatimulyo, Panjang, Kedamaian, Pahoman",-5.3971,105.2668,Active
HUB,HUB HCI Palembang,Palembang,"Palembang, Ilir Barat I, Sukarame, Ilir Barat II, Alang Alang Lebar, Bukit Kecil, Sako, Ilir Timur II, Kemuning, Plaju, Kalidoni, Jakabaring, Seberang Hulu I, Seberang Hulu II, Sematang Borang, Karya Jaya, Kertapati, Ilir Timur I, Mariana",-2.9761,104.7754,Active
HUB,HUB HCI Kediri,Kediri,"Kediri, Madiun, Tulungagung, Jombang, Blitar, Nganjuk, Trenggalek",-7.8167,112.0114,Active
HUB,HUB HCI Cirebon,Cirebon,"Cirebon, Cirebon Barat, Cirebon Timur, Majalengka, Kab. Indramayu, Cirebon Selatan, Kuningan, Cirebon Utara",-6.7320,108.5523,Active
HUB,HUB HCI Tasikmalaya,Tasikmalaya,"Tasikmalaya, Kota Banjar, Kab Tasik Barat, Kab Ciamis, Kab Tasik Selatan, Kab Tasik Utara, Kab Tasik Timur, Kab Pangandaran",-7.3274,108.2207,Active
HUB,HUB HCI Malang,Malang,"Malang, Malang Timur, Malang Barat, Malang Kota, Batu, Malang Utara, Malang Selatan",-7.9797,112.6304,Active
HUB,HUB HCI Banyumas,Banyumas,"Banyumas, Kebumen, Cilacap Kota, Banjarnegara, Purwokerto, Purbalingga, Cilacap Barat",-7.5270,109.2348,Active
HUB,HUB HCI Bali,Bali,"Bali, Badung, Denpasar, Tabanan, Gianyar, Kalungkung, Buleleng",-8.3405,115.0920,Active
HUB,HUB HCI BKS Tegal,Tegal,"Tegal, Kab. Tegal, Brebes Utara, Pemalang Utara, Brebes Barat, Kota Tegal",-6.8694,109.1402,Active
HUB,HUB HCI BKS Singkawang,Singkawang,Singkawang,0.9028,108.9854,Active
HUB,HUB HCI BKS Balikpapan,Balikpapan,Balikpapan,-1.2379,116.8529,Active
HUB,HUB HCI BKS Siantar,Pematang Siantar,"Pematang Siantar, Simalungun, Tanah Jawa, Perdagangan, Tebing Tinggi",2.9595,99.0687,Active
HUB,HUB HCI Pekanbaru,Pekanbaru,"Pekanbaru, Soebrantas, Tangkerang, Rumbai, Kampar",0.5071,101.4478,Active
HUB,HUB HCI BKS Dumai,Dumai,Dumai,1.6667,101.4500,Active
HUB,HUB HCI Banyuwangi,Banyuwangi,"Banyuwangi, Wongsorejo, Genteng, Tegaldlimo, Kalibaru, Bangorejo, Situbondo, Rogojampi, Muncar",-8.2191,114.3691,Active
HUB,HUB HCI Padang,Padang,"Padang, Solok, Pariaman, Pesisir Selatan, Sinjunjung, Sawah Lunto, Padang Panjang, Bukit Tinggi, Pasaman, Dharmasraya",-0.9471,100.4172,Active
HUB,HUB HCI Jember,Jember,"Jember, Bondowoso, Lumajang",-8.1724,113.7024,Active
HUB,HUB HCI Garut,Garut,Garut,-7.2167,107.9000,Active
HUB,HUB HCI BKS Bengkulu,Bengkulu,Bengkulu,-3.7928,102.2608,Active
HUB,HUB HCI BKS Jambi,Jambi,Jambi,-1.6101,103.6131,Active
HUB,HUB AHI Alam Sutera,Tangerang,Tangerang,-6.2246,106.6544,Active
HUB,HUB AHI Bintaro,Bintaro,Bintaro,-6.2831,106.7244,Active
HUB,HUB AHI MAG,Jakarta Utara,Jakarta Utara,-6.1218,106.8988,Active
HUB,HUB AHI Puri,Jakarta Barat,Jakarta Barat,-6.1701,106.7441,Active
HUB,HUB AHI Gandaria,Jakarta Barat,Jakarta Barat,-6.2438,106.7810,Active
HUB,HUB AHI Kasablanka,Jakarta Pusat,Jakarta Pusat,-6.2241,106.8395,Active
HUB,HUB AHI Terasutara,Bogor,Bogor,-6.5970,106.8060,Active
HUB,HUB AHI Cibubur,Jakarta Timur,Jakarta Timur,-6.3720,106.8990,Active
HUB,HUB AHI Depok,Depok,Depok,-6.4024,106.7942,Active
HUB,HUB AHI AYB,Bekasi,Bekasi,-6.2441,107.0004,Active
HUB,HUB AHI IBCC,Bandung,Bandung,-6.9175,107.6191,Active
HUB,HUB AHI Paskal,Bandung,Bandung,-6.9100,107.5950,Active
HUB,HUB AHI Yogyakarta,Yogyakarta,Yogyakarta,-7.7971,110.3688,Active
HUB,HUB AHI Semarang,Semarang,Semarang,-6.9932,110.4203,Active
HUB,HUB AHI Malang,Malang,Malang,-7.9797,112.6304,Active
HUB,HUB AHI Palembang,Palembang,Palembang,-2.9761,104.7754,Active
HUB,HUB AHI Kuta Bali,Bali,Bali,-8.7215,115.1697,Active
HUB,HUB AHI Denpasar Bali,Bali,Bali,-8.6705,115.2126,Active
